policy_n,policy_alias,policy_industry,policy_d0,rel_day,pub_date,article_count,provider_count,max_provider_share,diffusion,active_article_count,pred_support_count,pred_contradict_count,pred_neutral_count,PTEI_sum,PTEI_mean,Contradiction_sum,Contradiction_mean,NP_support_total,NP_contradict_total,C1_gate_count,C1_PTEI_sum,C1_PTEI_mean,C1_NP_support,C1_Contradiction_sum,C1_Contradiction_mean,C1_NP_contradict,C2_gate_count,C2_PTEI_sum,C2_PTEI_mean,C2_NP_support,C2_Contradiction_sum,C2_Contradiction_mean,C2_NP_contradict,C3_gate_count,C3_PTEI_sum,C3_PTEI_mean,C3_NP_support,C3_Contradiction_sum,C3_Contradiction_mean,C3_NP_contradict,C4_gate_count,C4_PTEI_sum,C4_PTEI_mean,C4_NP_support,C4_Contradiction_sum,C4_Contradiction_mean,C4_NP_contradict,C5_gate_count,C5_PTEI_sum,C5_PTEI_mean,C5_NP_support,C5_Contradiction_sum,C5_Contradiction_mean,C5_NP_contradict,C6_gate_count,C6_PTEI_sum,C6_PTEI_mean,C6_NP_support,C6_Contradiction_sum,C6_Contradiction_mean,C6_NP_contradict
1,반도체 빅딜,반도체,1999-04-29,-2,1999-04-27,34,17,0.147059,0.852941,6,5,1,28,2.667879,0.078467,2.017546,0.059340,0.237951,0.179947,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,0.674271,0.019832,0.060139,0.455620,0.013401,0.040637,1,0.381312,0.011215,0.034010,0.351968,0.010352,0.031392,4,1.612295,0.047420,0.143803,1.209958,0.035587,0.107918
1,반도체 빅딜,반도체,1999-04-29,-1,1999-04-28,36,15,0.166667,0.833333,5,3,2,31,2.234211,0.062061,2.261760,0.062827,0.186749,0.189052,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,1.575262,0.043757,0.131670,1.473526,0.040931,0.123166,1,0.378017,0.010500,0.031597,0.263384,0.007316,0.022015,1,0.280932,0.007804,0.023482,0.524851,0.014579,0.043870
1,반도체 빅딜,반도체,1999-04-29,0,1999-04-29,30,14,0.166667,0.833333,8,3,0,27,2.319276,0.077309,1.684128,0.056138,0.221232,0.160647,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,1.012041,0.033735,0.096537,0.932137,0.031071,0.088915,3,1.074532,0.035818,0.102498,0.550603,0.018353,0.052521,1,0.232703,0.007757,0.022197,0.201388,0.006713,0.019210
1,반도체 빅딜,반도체,1999-04-29,1,1999-04-30,21,13,0.238095,0.761905,0,0,0,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,반도체 빅딜,반도체,1999-04-29,2,1999-05-01,14,9,0.285714,0.714286,1,0,1,13,0.402802,0.028772,0.475544,0.033967,0.055653,0.065704,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.402802,0.028772,0.055653,0.475544,0.033967,0.065704,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,반도체 빅딜,반도체,1999-04-29,3,1999-05-02,1,1,1.000000,0.000000,0,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,반도체 빅딜,반도체,1999-04-29,4,1999-05-03,7,6,0.285714,0.714286,0,0,0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,반도체 빅딜,반도체,1999-04-29,5,1999-05-04,9,6,0.333333,0.666667,1,1,0,8,0.531177,0.059020,0.318422,0.035380,0.090599,0.054311,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.531177,0.059020,0.090599,0.318422,0.035380,0.054311
1,반도체 빅딜,반도체,1999-04-29,6,1999-05-05,14,10,0.214286,0.785714,3,2,0,12,0.997151,0.071225,0.632677,0.045191,0.151549,0.096156,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,0.928595,0.066328,0.141130,0.605514,0.043251,0.092027,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.068556,0.004897,0.010419,0.027163,0.001940,0.004128
1,반도체 빅딜,반도체,1999-04-29,7,1999-05-06,3,2,0.666667,0.333333,0,0,0,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
